species;site;pH;Tank;chla;chlc;chltot;chltotsymbiont;symbiont
Acropora tenuis;Reference;Control;A;9.89204439;23.04591121;32.9379556;18.87483814;1745072.215
Acropora tenuis;Reference;Control;B;4.434143888;10.32542979;14.75957368;18.02356539;818904.2154
Acropora tenuis;Reference;Control;B;8.29764726;19.10042686;27.39807412;26.58528831;1030572.766
Acropora tenuis;Reference;Control;C;12.06674873;27.9030585;39.96980723;24.03263724;1663146.946
Acropora tenuis;Reference;Control;C;10.91644895;25.18090341;36.09735236;19.77792457;1825133.483
Acropora tenuis;Reference;Control;A;11.28727814;26.43471168;37.72198982;18.62865025;2024944.874
Acropora tenuis;Bourake;Control;B;7.272697975;16.92473375;24.19743173;14.344199;1686914.112
Acropora tenuis;Bourake;Control;A;6.749282166;15.72390892;22.47319109;14.75038462;1523566.448
Acropora tenuis;Bourake;Control;B;6.90287042;16.09104532;22.99391574;15.81283146;1454130.198
Acropora tenuis;Bourake;Control;C;10.88395602;25.30386168;36.1878177;13.07392794;2767937.675
Acropora tenuis;Bourake;Control;C;6.716340224;15.57982572;22.29616594;13.2587619;1681617.492
Acropora tenuis;Bourake;Control;C;7.745187592;18.03216209;25.77734968;12.47195257;2066825.506
Acropora tenuis;Bourake;Control;C;6.246129441;14.57024921;20.81637865;8.918397985;2334093.936
Acropora tenuis;Bourake;Control;A;7.540244668;17.58252925;25.12277392;9.913915212;2534092.07
Acropora tenuis;Bourake;Control;A;7.738539371;18.02252494;25.76106431;9.017577246;2856761.147
Acropora tenuis;Bourake;Control;B;7.823231785;17.89789604;25.72112783;11.66632727;2204732.237
Montipora digitata;Reference;Control;A;7.899299041;18.35362243;26.25292147;20.04686308;1309577.531
Montipora digitata;Reference;Control;A;8.577046589;19.96620109;28.54324768;24.62774367;1158987.525
Montipora digitata;Reference;Control;B;6.540953291;14.37669677;20.91765006;20.69391597;1010811.588
Montipora digitata;Reference;Control;C;12.23591419;28.75161288;40.98752707;21.59169888;1898300.235
Montipora digitata;Reference;Control;B;13.94156512;31.28093117;45.22249629;20.67135135;2187689.403
Montipora digitata;Reference;Control;B;17.68881989;42.13717371;59.8259936;22.7019919;2635275.083
Montipora digitata;Reference;Control;C;5.775014173;12.75671468;18.53172885;21.44218373;864264.997
Montipora digitata;Bourake;Control;B;9.908160155;23.04006661;32.94822677;20.36699711;1617726.295
Montipora digitata;Bourake;Control;C;11.53090687;26.86622694;38.39713381;19.08386621;2012020.698
Montipora digitata;Bourake;Control;A;10.51777684;24.47835966;34.9961365;20.14582746;1737140.684
Montipora digitata;Bourake;Control;B;11.59942861;27.03646212;38.63589072;21.09214058;1831767.173
Montipora digitata;Bourake;Control;C;9.23619711;21.52191145;30.75810856;15.63124432;1967732.57
Montipora digitata;Bourake;Control;B;13.65398782;31.79832464;45.45231246;21.85649065;2079579.617
Montipora digitata;Bourake;Control;A;7.213020995;16.25265387;23.46567487;24.04652174;975844.8695
Porites sp.;Reference;Control;A;1.59537022;3.701072394;5.296442614;13.57049077;390291.1624
Porites sp.;Reference;Control;C;3.182563495;7.376556009;10.5591195;13.41166667;787308.5252
Porites sp.;Reference;Control;C;2.020578707;4.238503983;6.259082691;13.40636279;466874.035
Porites sp.;Reference;Control;B;2.267233459;5.221672401;7.488905859;13.34387716;561224.1307
Porites sp.;Reference;Control;A;3.340582157;7.780032113;11.12061427;13.28788027;836899.042
Porites sp.;Reference;Control;B;2.3126465;5.295867427;7.608513927;7.960704446;955758.8752
Porites sp.;Reference;Control;C;4.393878503;10.05231477;14.44619327;12.54267797;1151763.069
Porites sp.;Bourake;Control;A;2.101293484;4.740380422;6.841673906;18.98085106;360451.3772
Porites sp.;Bourake;Control;C;2.403586981;5.523397103;7.926984084;9.52306781;832398.156
Porites sp.;Bourake;Control;A;4.169461032;9.595819751;13.76528078;18.56619355;741416.4216
Porites sp.;Bourake;Control;B;2.763661614;6.187417934;8.951079548;13.61989885;657206.0223
